2026-02-13 09:22:12.602 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 09:22:12.609 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 09:22:12.609 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 09:22:12.627 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 09:22:12.627 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 820 ms
2026-02-13 09:22:12.667 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 09:22:12.683 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 09:22:12.800 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@2b7e8044
2026-02-13 09:22:12.800 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 09:22:12.800 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 09:22:12.876 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:22:12.897 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.011s)
2026-02-13 09:22:12.901 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:22:12.903 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:22:12.904 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 09:22:12.991 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 09:22:13.072 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 09:22:13.320 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
